V (V),Q vs QB (V),V (V),QB vs Q (V)
616.0E-3,286.5E-9,286.5E-9,616.0E-3
618.0E-3,280.6E-9,280.6E-9,618.0E-3
620.0E-3,274.9E-9,274.9E-9,620.0E-3
622.0E-3,269.4E-9,269.4E-9,622.0E-3
624.0E-3,264.0E-9,264.0E-9,624.0E-3
626.0E-3,258.7E-9,258.7E-9,626.0E-3
628.0E-3,253.6E-9,253.6E-9,628.0E-3
630.0E-3,248.7E-9,248.7E-9,630.0E-3
632.0E-3,243.9E-9,243.9E-9,632.0E-3
634.0E-3,239.2E-9,239.2E-9,634.0E-3
636.0E-3,234.6E-9,234.6E-9,636.0E-3
638.0E-3,230.1E-9,230.1E-9,638.0E-3
640.0E-3,225.8E-9,225.8E-9,640.0E-3
642.0E-3,221.6E-9,221.6E-9,642.0E-3
644.0E-3,217.5E-9,217.5E-9,644.0E-3
646.0E-3,213.5E-9,213.5E-9,646.0E-3
648.0E-3,209.6E-9,209.6E-9,648.0E-3
650.0E-3,205.9E-9,205.9E-9,650.0E-3
652.0E-3,202.2E-9,202.2E-9,652.0E-3
654.0E-3,198.6E-9,198.6E-9,654.0E-3
656.0E-3,195.1E-9,195.1E-9,656.0E-3
658.0E-3,191.7E-9,191.7E-9,658.0E-3
660.0E-3,188.4E-9,188.4E-9,660.0E-3
662.0E-3,185.2E-9,185.2E-9,662.0E-3
664.0E-3,182.0E-9,182.0E-9,664.0E-3
666.0E-3,179.0E-9,179.0E-9,666.0E-3
668.0E-3,176.0E-9,176.0E-9,668.0E-3
670.0E-3,173.1E-9,173.1E-9,670.0E-3
672.0E-3,170.3E-9,170.3E-9,672.0E-3
674.0E-3,167.5E-9,167.5E-9,674.0E-3
676.0E-3,164.8E-9,164.8E-9,676.0E-3
678.0E-3,162.2E-9,162.2E-9,678.0E-3
680.0E-3,159.6E-9,159.6E-9,680.0E-3
682.0E-3,157.1E-9,157.1E-9,682.0E-3
684.0E-3,154.7E-9,154.7E-9,684.0E-3
686.0E-3,152.3E-9,152.3E-9,686.0E-3
688.0E-3,150.0E-9,150.0E-9,688.0E-3
690.0E-3,147.8E-9,147.8E-9,690.0E-3
692.0E-3,145.6E-9,145.6E-9,692.0E-3
694.0E-3,143.4E-9,143.4E-9,694.0E-3
696.0E-3,141.3E-9,141.3E-9,696.0E-3
698.0E-3,139.3E-9,139.3E-9,698.0E-3
700.0E-3,137.3E-9,137.3E-9,700.0E-3
702.0E-3,135.4E-9,135.4E-9,702.0E-3
704.0E-3,133.5E-9,133.5E-9,704.0E-3
706.0E-3,131.6E-9,131.6E-9,706.0E-3
708.0E-3,129.8E-9,129.8E-9,708.0E-3
710.0E-3,128.0E-9,128.0E-9,710.0E-3
712.0E-3,126.3E-9,126.3E-9,712.0E-3
714.0E-3,124.6E-9,124.6E-9,714.0E-3
716.0E-3,123.0E-9,123.0E-9,716.0E-3
718.0E-3,121.4E-9,121.4E-9,718.0E-3
720.0E-3,119.8E-9,119.8E-9,720.0E-3
722.0E-3,118.3E-9,118.3E-9,722.0E-3
724.0E-3,116.8E-9,116.8E-9,724.0E-3
726.0E-3,115.3E-9,115.3E-9,726.0E-3
728.0E-3,113.9E-9,113.9E-9,728.0E-3
730.0E-3,112.5E-9,112.5E-9,730.0E-3
732.0E-3,111.1E-9,111.1E-9,732.0E-3
734.0E-3,109.8E-9,109.8E-9,734.0E-3
736.0E-3,108.5E-9,108.5E-9,736.0E-3
738.0E-3,107.2E-9,107.2E-9,738.0E-3
740.0E-3,106.0E-9,106.0E-9,740.0E-3
742.0E-3,104.7E-9,104.7E-9,742.0E-3
744.0E-3,103.6E-9,103.6E-9,744.0E-3
746.0E-3,102.4E-9,102.4E-9,746.0E-3
748.0E-3,101.2E-9,101.2E-9,748.0E-3
750.0E-3,100.1E-9,100.1E-9,750.0E-3
752.0E-3,99.04E-9,99.04E-9,752.0E-3
754.0E-3,97.97E-9,97.97E-9,754.0E-3
756.0E-3,96.93E-9,96.93E-9,756.0E-3
758.0E-3,95.91E-9,95.91E-9,758.0E-3
760.0E-3,94.91E-9,94.91E-9,760.0E-3
762.0E-3,93.93E-9,93.93E-9,762.0E-3
764.0E-3,92.97E-9,92.97E-9,764.0E-3
766.0E-3,92.03E-9,92.03E-9,766.0E-3
768.0E-3,91.12E-9,91.12E-9,768.0E-3
770.0E-3,90.22E-9,90.22E-9,770.0E-3
772.0E-3,89.34E-9,89.34E-9,772.0E-3
774.0E-3,88.48E-9,88.48E-9,774.0E-3
776.0E-3,87.64E-9,87.64E-9,776.0E-3
778.0E-3,86.81E-9,86.81E-9,778.0E-3
780.0E-3,86.00E-9,86.00E-9,780.0E-3
782.0E-3,85.21E-9,85.21E-9,782.0E-3
784.0E-3,84.43E-9,84.43E-9,784.0E-3
786.0E-3,83.67E-9,83.67E-9,786.0E-3
788.0E-3,82.93E-9,82.93E-9,788.0E-3
790.0E-3,82.20E-9,82.20E-9,790.0E-3
792.0E-3,81.49E-9,81.49E-9,792.0E-3
794.0E-3,80.78E-9,80.78E-9,794.0E-3
796.0E-3,80.10E-9,80.10E-9,796.0E-3
798.0E-3,79.43E-9,79.43E-9,798.0E-3
800.0E-3,78.77E-9,78.77E-9,800.0E-3
802.0E-3,78.12E-9,78.12E-9,802.0E-3
804.0E-3,77.49E-9,77.49E-9,804.0E-3
806.0E-3,76.87E-9,76.87E-9,806.0E-3
808.0E-3,76.26E-9,76.26E-9,808.0E-3
810.0E-3,75.66E-9,75.66E-9,810.0E-3
812.0E-3,75.07E-9,75.07E-9,812.0E-3
814.0E-3,74.50E-9,74.50E-9,814.0E-3
816.0E-3,73.94E-9,73.94E-9,816.0E-3
818.0E-3,73.39E-9,73.39E-9,818.0E-3
820.0E-3,72.84E-9,72.84E-9,820.0E-3
822.0E-3,72.31E-9,72.31E-9,822.0E-3
824.0E-3,71.79E-9,71.79E-9,824.0E-3
826.0E-3,71.28E-9,71.28E-9,826.0E-3
828.0E-3,70.78E-9,70.78E-9,828.0E-3
830.0E-3,70.29E-9,70.29E-9,830.0E-3
832.0E-3,69.81E-9,69.81E-9,832.0E-3
834.0E-3,69.33E-9,69.33E-9,834.0E-3
836.0E-3,68.87E-9,68.87E-9,836.0E-3
838.0E-3,68.41E-9,68.41E-9,838.0E-3
840.0E-3,67.96E-9,67.96E-9,840.0E-3
842.0E-3,67.53E-9,67.53E-9,842.0E-3
844.0E-3,67.09E-9,67.09E-9,844.0E-3
846.0E-3,66.67E-9,66.67E-9,846.0E-3
848.0E-3,66.26E-9,66.26E-9,848.0E-3
850.0E-3,65.85E-9,65.85E-9,850.0E-3
852.0E-3,65.45E-9,65.45E-9,852.0E-3
854.0E-3,65.06E-9,65.06E-9,854.0E-3
856.0E-3,64.67E-9,64.67E-9,856.0E-3
858.0E-3,64.29E-9,64.29E-9,858.0E-3
860.0E-3,63.92E-9,63.92E-9,860.0E-3
862.0E-3,63.56E-9,63.56E-9,862.0E-3
864.0E-3,63.20E-9,63.20E-9,864.0E-3
866.0E-3,62.85E-9,62.85E-9,866.0E-3
868.0E-3,62.50E-9,62.50E-9,868.0E-3
870.0E-3,62.16E-9,62.16E-9,870.0E-3
872.0E-3,61.83E-9,61.83E-9,872.0E-3
874.0E-3,61.50E-9,61.50E-9,874.0E-3
876.0E-3,61.18E-9,61.18E-9,876.0E-3
878.0E-3,60.87E-9,60.87E-9,878.0E-3
880.0E-3,60.56E-9,60.56E-9,880.0E-3
882.0E-3,60.25E-9,60.25E-9,882.0E-3
884.0E-3,59.95E-9,59.95E-9,884.0E-3
886.0E-3,59.66E-9,59.66E-9,886.0E-3
888.0E-3,59.37E-9,59.37E-9,888.0E-3
890.0E-3,59.09E-9,59.09E-9,890.0E-3
892.0E-3,58.81E-9,58.81E-9,892.0E-3
894.0E-3,58.54E-9,58.54E-9,894.0E-3
896.0E-3,58.27E-9,58.27E-9,896.0E-3
898.0E-3,58.01E-9,58.01E-9,898.0E-3
900.0E-3,57.75E-9,57.75E-9,900.0E-3
902.0E-3,57.50E-9,57.50E-9,902.0E-3
904.0E-3,57.25E-9,57.25E-9,904.0E-3
906.0E-3,57.00E-9,57.00E-9,906.0E-3
908.0E-3,56.76E-9,56.76E-9,908.0E-3
910.0E-3,56.53E-9,56.53E-9,910.0E-3
912.0E-3,56.30E-9,56.30E-9,912.0E-3
914.0E-3,56.07E-9,56.07E-9,914.0E-3
916.0E-3,55.85E-9,55.85E-9,916.0E-3
918.0E-3,55.63E-9,55.63E-9,918.0E-3
920.0E-3,55.41E-9,55.41E-9,920.0E-3
922.0E-3,55.20E-9,55.20E-9,922.0E-3
924.0E-3,54.99E-9,54.99E-9,924.0E-3
926.0E-3,54.79E-9,54.79E-9,926.0E-3
928.0E-3,54.59E-9,54.59E-9,928.0E-3
930.0E-3,54.39E-9,54.39E-9,930.0E-3
932.0E-3,54.20E-9,54.20E-9,932.0E-3
934.0E-3,54.01E-9,54.01E-9,934.0E-3
936.0E-3,53.82E-9,53.82E-9,936.0E-3
938.0E-3,53.64E-9,53.64E-9,938.0E-3
940.0E-3,53.46E-9,53.46E-9,940.0E-3
942.0E-3,53.29E-9,53.29E-9,942.0E-3
944.0E-3,53.12E-9,53.12E-9,944.0E-3
946.0E-3,52.95E-9,52.95E-9,946.0E-3
948.0E-3,52.78E-9,52.78E-9,948.0E-3
950.0E-3,52.62E-9,52.62E-9,950.0E-3
952.0E-3,52.46E-9,52.46E-9,952.0E-3
954.0E-3,52.30E-9,52.30E-9,954.0E-3
956.0E-3,52.15E-9,52.15E-9,956.0E-3
958.0E-3,52.00E-9,52.00E-9,958.0E-3
