corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.6e-07,2.8e-07,1.2e-07,0,1,7.14349e-11
tt,1.6e-07,2.8e-07,1.2e-07,0,1.05,7.50066e-11
tt,1.6e-07,2.8e-07,1.2e-07,0,1.1,7.85784e-11
tt,1.6e-07,2.8e-07,1.2e-07,0,1.15,8.21501e-11
tt,1.6e-07,2.8e-07,1.2e-07,0,1.2,8.57218e-11
tt,1.6e-07,2.8e-07,1.2e-07,27,1,7.91155e-11
tt,1.6e-07,2.8e-07,1.2e-07,27,1.05,8.30713e-11
tt,1.6e-07,2.8e-07,1.2e-07,27,1.1,8.70271e-11
tt,1.6e-07,2.8e-07,1.2e-07,27,1.15,9.09829e-11
tt,1.6e-07,2.8e-07,1.2e-07,27,1.2,9.49386e-11
tt,1.6e-07,2.8e-07,1.2e-07,85,1,1.49623e-10
tt,1.6e-07,2.8e-07,1.2e-07,85,1.05,1.57104e-10
tt,1.6e-07,2.8e-07,1.2e-07,85,1.1,1.64585e-10
tt,1.6e-07,2.8e-07,1.2e-07,85,1.15,1.72067e-10
tt,1.6e-07,2.8e-07,1.2e-07,85,1.2,1.79548e-10
tt,1.6e-07,2.8e-07,1.2e-07,125,1,3.05809e-10
tt,1.6e-07,2.8e-07,1.2e-07,125,1.05,3.21099e-10
tt,1.6e-07,2.8e-07,1.2e-07,125,1.1,3.3639e-10
tt,1.6e-07,2.8e-07,1.2e-07,125,1.15,3.5168e-10
tt,1.6e-07,2.8e-07,1.2e-07,125,1.2,3.66971e-10
tt,1.6e-07,3.2e-07,1.2e-07,-40,1,7.4279e-11
tt,1.6e-07,3.2e-07,1.2e-07,-40,1.05,7.7993e-11
tt,1.6e-07,3.2e-07,1.2e-07,-40,1.1,8.17069e-11
tt,1.6e-07,3.2e-07,1.2e-07,-40,1.15,8.54209e-11
tt,1.6e-07,3.2e-07,1.2e-07,-40,1.2,8.91348e-11
tt,1.6e-07,3.2e-07,1.2e-07,0,1,7.75467e-11
tt,1.6e-07,3.2e-07,1.2e-07,0,1.05,8.1424e-11
tt,1.6e-07,3.2e-07,1.2e-07,0,1.1,8.53013e-11
tt,1.6e-07,3.2e-07,1.2e-07,0,1.15,8.91787e-11
tt,1.6e-07,3.2e-07,1.2e-07,0,1.2,9.3056e-11
tt,1.6e-07,3.2e-07,1.2e-07,27,1,8.54132e-11
tt,1.6e-07,3.2e-07,1.2e-07,27,1.05,8.96839e-11
tt,1.6e-07,3.2e-07,1.2e-07,27,1.1,9.39545e-11
tt,1.6e-07,3.2e-07,1.2e-07,27,1.15,9.82252e-11
tt,1.6e-07,3.2e-07,1.2e-07,27,1.2,1.02496e-10
tt,1.6e-07,3.2e-07,1.2e-07,85,1,1.58079e-10
tt,1.6e-07,3.2e-07,1.2e-07,85,1.05,1.65983e-10
tt,1.6e-07,3.2e-07,1.2e-07,85,1.1,1.73887e-10
tt,1.6e-07,3.2e-07,1.2e-07,85,1.15,1.81791e-10
tt,1.6e-07,3.2e-07,1.2e-07,85,1.2,1.89695e-10
tt,1.6e-07,3.2e-07,1.2e-07,125,1,3.20018e-10
